WKT,name,description
"POINT (106.657734 10.7720657)",BKU,
"POINT (106.6581232 10.770494)",Point 1,
"POINT (106.65999 10.7638855)",Point 2,
"POINT (106.6670945 10.7677021)",Point 3,
"POINT (106.6707618 10.7696614)",Point 8,
"POINT (106.6743943 10.7677114)",Point 9,
"POINT (106.6655396 10.7779067)",Point 10,
"POINT (106.6647332 10.7868058)",Point 11,
"POINT (106.6721096 10.7829016)",Point 12,
"POINT (106.6731007 10.7709472)",Point 13,
"POINT (106.6816408 10.7778613)",Point 14,
"POINT (106.6837357 10.7767387)",Point 15,
"POINT (106.681702 10.7654336)",Point 16,
"POINT (106.689387 10.7736665)",Point 17,
"POINT (106.6891088 10.7849622)",Point 18,
"POINT (106.6907582 10.7833921)",Point 19,
"POINT (106.694966 10.7796108)",Point 20,
"POINT (106.6964492 10.7782001)",Dinh,
"POINT (106.663574 10.7764293)",Point 4,
"POINT (106.6560754 10.7778209)",Point 5,
"POINT (106.6589034 10.7806876)",Point 6,
"POINT (106.6679937 10.7681858)",Point 7,
